Rating,Review
 (2),Fits me so well and was delivered on time
 (3),It's OK
 (0),This product has no reviews yet.
 (1),The material wasn't as expected but the design was magnificent ???? I love it it fits perfectly I would totally recommend it to anyone
 (1),This product has no ratings yet.
 (0),This product has no reviews yet.
 (2),What is sold online and what is delivered are quite different things. Improve please
 (1),The product delivered is different from what is displayed.
 (0),This product has no reviews yet.
 (1),"The material is fake,quite rough, makes noise when walking because of friction, see through,threads standing out,loses dye when washing"
 (0),This product has no reviews yet.
 (0),This product has no ratings yet.
 (0),This product has no ratings yet.
 (0),This product has no reviews yet.
 (0),This product has no reviews yet.
 (0),This product has no reviews yet.
 (0),This product has no ratings yet.
 (2),Quality not satisfactory.
 (0),This product has no reviews yet.
 (2),Product of very bad quality
 (1),The material is very light and with a poor quality. The sweater is short. Very disappointed !
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (1),Product of very bad quality
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (0),This product has no reviews yet.
 (1),I like it though the size didn't work well
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (2),Delivering what is promised. This is close to false advertising
 (1),Was given the wrong size. I asked for size 12 and was given size 21.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
