Rating,Review
 (6),IT WAS DELIVERED ON TIME
 (123),The Tv is good and works well but the bracket is too small
 (123),This product has no ratings yet.
 (79),Its good i like it
 (4),Excellent......
 (0),This product has no reviews yet.
 (0),This product has no reviews yet.
 (1),It's cool
 (1),"I got what I wanted, very satisfied with the product"
 (1),perfect
 (356),Good brand
 (1),Serving me Better
 (1),This product has no ratings yet.
 (1),gd picture quality and plays most video formats
 (8),Super fine
 (0),This product has no reviews yet.
 (0),This product has no ratings yet.
 (52),TV Bracket is a little bit strange but generally everything else is perfect.
 (6),The TV is clearly it as it is described
 (15),It's good product
 (2),I love it
 (7),"Affordable, new and clear pictures of the TV."
 (1),"The Television is unbelievable good. 

Picture and sound quality wise are excellent."
 (4),It's cool
 (9),Clear pictures an sound.
 (2),Budget TV works fine
 (12),Superb
 (2),"Quite slim, Good quality picture and good build quality"
 (0),This product has no reviews yet.
 (0),This product has no ratings yet.
 (1),Working nicely
 (1),High quality and timely delivery. Thanks
 (3),"Guys this TV is low quality don't buy.


The seller you need to get back to me if you want a 5 star rating"
 (3),It's clear
 (0),This product has no reviews yet.
 (2),Good tv
 (0),This product has no reviews yet.
 (0),This product has no reviews yet.
 (0),This product has no ratings yet.
 (0),This product has no reviews yet.
