Rating,Review
 (468),Its pretty dope......so light no problem at allfor the price that is ????
 (71),"It's so good. HD ni safi
So far no complains"
 (72),"the audio is horrible,even when its connected to the audio output,its still uses the internal speaker"
 (102),I love it
 (2),Good fast class
 (31),Item delivered on good time and it's legit
 (15),Slow remote.....Content is 4k but UI is not even HD.
 (13),The TV is clear. Better than i expected.
 (2),Not yet used
 (2),It's ok. However jumia you should check on your pickup station kitengela. I have been trying to order items for my friends and most of the time I'm told no pick up station available near me. Look for a much bigger room to accommodate more items... this would give us ample time to pick them
 (7),I love the graphics..... It was such  a great experience to shop with Jumia....I have reduced the fear of bring coaxed with faulty items....i look forward  to transacting more  with Jumia. keep building your name Kudos.
 (15),So far so good. Need it delivered on time? Talk to agent Jessy on 0712961776
 (15),This product has no ratings yet.
 (8),THANKS FOR THE GOOD SERVICE
 (0),This product has no reviews yet.
 (0),This product has no reviews yet.
 (22),I am proud to have this TV
 (0),This product has no reviews yet.
 (6),Was okay
 (24),Good product
 (0),This product has no reviews yet.
 (2),Improve battery capacity
 (5),Affordable price
 (2),Delivery time Perfect
 (0),This product has no reviews yet.
 (1),Vivid picture
 (1),I requested itel d321ac/dc but it was out of stock but agent lie to me and send me s321.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (0),This product has no reviews yet.
 (0),This product has no ratings yet.
 (1),thank jumia
 (1),This product has no ratings yet.
 (4),"Vitron TV, it was exactly as I ordered. Speakers are working perfectly, then clear pictures"
 (137),wonderful product. sound and pictures are very clear. the order arrived in time and just as was expected
 (137),This product has no ratings yet.
 (2),Its a great product
 (2),nice one
 (2),This product has no ratings yet.
