Rating,Review
 (6),it works perfect
 (6),This product has no ratings yet.
 (35),It's just like a cinema. Perfect in all the ways possible.
 (339),Has clear picture's I love it thank you jumia for selling quality items
 (173),"The product is good, except the remote is not fit for purpose especially when dealing with apps like netflix"
 (16),delivered just as ordered
 (16),This product has no ratings yet.
 (0),This product has no reviews yet.
 (140),Great great great for that price.
 (1),Bought from JFORCE agent William 0713915847 and love the delivery time and customer appreciation while adhering to the budget constraints
 (0),This product has no reviews yet.
 (0),This product has no reviews yet.
 (0),This product has no ratings yet.
 (0),This product has no ratings yet.
 (0),This product has no ratings yet.
 (0),This product has no reviews yet.
 (3),Value for money..love it
 (3),This product has no ratings yet.
 (3),Good picture quality
 (3),This product has no ratings yet.
 (3),This product has no ratings yet.
 (3),This product has no ratings yet.
 (3),This product has no ratings yet.
 (50),Good value for money. Everything works as expected.
 (1),Great quality sound and picture experience
 (1),Wow am in love with this TV...for help placing this order reach agent on 0713212551
 (1),This product has no ratings yet.
 (1),This product has no ratings yet.
 (9),"I like it, clear pictures and sound quality is good however it is HD ready and not full HD as described in the website there's a difference between the two."
 (1),"Meet my expectations, very nyce,kudos Jumia...????"
 (1),This product has no ratings yet.
 (4),"I love the tv, especially the magic remote, it simplifies life"
 (4),This product has no ratings yet.
 (2),Very clear as I expected
 (3),love it
 (0),This product has no reviews yet.
 (39),"This is just a concern the user manual is not enough to guide first time users,like operating the smart tv some of the features like connecting to you tube screen mirroring we need helpline or agents to assist us?That is during installation of this product."
 (39),This product has no ratings yet.
 (1),I wanted one with frame
 (12),Love it
